# CB0 = 2.100000
# t /s, C /M, C /M, C /M
6.450, 0.0261, 0.0167, 0.0130
6.525, 0.0263, 0.0165, 0.0132
6.600, 0.0261, 0.0163, 0.0133
6.675, 0.0256, 0.0163, 0.0136
6.750, 0.0260, 0.0161, 0.0136
6.825, 0.0260, 0.0163, 0.0129
6.900, 0.0263, 0.0161, 0.0134
6.975, 0.0259, 0.0163, 0.0132
7.050, 0.0257, 0.0164, 0.0129
7.125, 0.0256, 0.0163, 0.0130
7.200, 0.0258, 0.0159, 0.0130
7.275, 0.0255, 0.0157, 0.0127
7.350, 0.0255, 0.0159, 0.0131
7.425, 0.0258, 0.0161, 0.0131
7.500, 0.0252, 0.0162, 0.0131
7.575, 0.0252, 0.0158, 0.0131
7.650, 0.0252, 0.0161, 0.0127
7.725, 0.0251, 0.0160, 0.0128
7.800, 0.0251, 0.0160, 0.0132
7.875, 0.0250, 0.0157, 0.0128
7.950, 0.0251, 0.0160, 0.0128
8.025, 0.0246, 0.0158, 0.0133
8.100, 0.0249, 0.0158, 0.0129
8.175, 0.0245, 0.0154, 0.0130
8.250, 0.0246, 0.0157, 0.0128
8.325, 0.0245, 0.0155, 0.0128
8.400, 0.0246, 0.0160, 0.0129
8.475, 0.0246, 0.0152, 0.0127
8.550, 0.0242, 0.0155, 0.0124
8.625, 0.0242, 0.0155, 0.0130
8.700, 0.0239, 0.0155, 0.0127
8.775, 0.0243, 0.0155, 0.0126
8.850, 0.0244, 0.0152, 0.0127
8.925, 0.0240, 0.0154, 0.0130
9.000, 0.0239, 0.0154, 0.0127
9.075, 0.0240, 0.0151, 0.0126
9.150, 0.0241, 0.0156, 0.0124
9.225, 0.0241, 0.0153, 0.0131
9.300, 0.0237, 0.0155, 0.0125
9.375, 0.0240, 0.0153, 0.0126
9.450, 0.0236, 0.0151, 0.0127
9.525, 0.0238, 0.0155, 0.0128
9.600, 0.0239, 0.0155, 0.0125
9.675, 0.0235, 0.0154, 0.0128
9.750, 0.0234, 0.0153, 0.0126
9.825, 0.0234, 0.0152, 0.0129
9.900, 0.0232, 0.0150, 0.0129
9.975, 0.0232, 0.0152, 0.0125
10.050, 0.0236, 0.0151, 0.0126
10.125, 0.0235, 0.0150, 0.0123
10.200, 0.0228, 0.0149, 0.0125
10.275, 0.0230, 0.0149, 0.0122
10.350, 0.0235, 0.0147, 0.0121
10.425, 0.0229, 0.0149, 0.0123
10.500, 0.0230, 0.0149, 0.0121
10.575, 0.0230, 0.0148, 0.0121
10.650, 0.0229, 0.0149, 0.0127
10.725, 0.0224, 0.0148, 0.0123
10.800, 0.0230, 0.0150, 0.0125
10.875, 0.0230, 0.0149, 0.0122
10.950, 0.0228, 0.0149, 0.0122
11.025, 0.0228, 0.0149, 0.0128
11.100, 0.0229, 0.0151, 0.0121
11.175, 0.0224, 0.0150, 0.0124
11.250, 0.0224, 0.0149, 0.0124
11.325, 0.0225, 0.0148, 0.0126
11.400, 0.0223, 0.0145, 0.0123
11.475, 0.0226, 0.0149, 0.0123
11.550, 0.0218, 0.0148, 0.0121
11.625, 0.0224, 0.0145, 0.0122
11.700, 0.0221, 0.0147, 0.0122
11.775, 0.0219, 0.0144, 0.0120
11.850, 0.0217, 0.0140, 0.0121
11.925, 0.0220, 0.0149, 0.0122
12.000, 0.0221, 0.0146, 0.0123
12.075, 0.0218, 0.0146, 0.0123
12.150, 0.0216, 0.0146, 0.0119
12.225, 0.0217, 0.0148, 0.0123
12.300, 0.0218, 0.0146, 0.0122
12.375, 0.0218, 0.0149, 0.0118
12.450, 0.0215, 0.0147, 0.0121
12.525, 0.0218, 0.0145, 0.0122
12.600, 0.0217, 0.0146, 0.0118
12.675, 0.0217, 0.0147, 0.0119
12.750, 0.0217, 0.0144, 0.0123
12.825, 0.0215, 0.0147, 0.0120
12.900, 0.0214, 0.0141, 0.0117
12.975, 0.0216, 0.0146, 0.0119
13.050, 0.0215, 0.0138, 0.0118
13.125, 0.0209, 0.0140, 0.0120
13.200, 0.0208, 0.0143, 0.0119
13.275, 0.0210, 0.0140, 0.0121
13.350, 0.0210, 0.0140, 0.0119
13.425, 0.0212, 0.0142, 0.0118
13.500, 0.0210, 0.0145, 0.0116
13.575, 0.0210, 0.0144, 0.0118
13.650, 0.0211, 0.0141, 0.0120
13.725, 0.0210, 0.0139, 0.0116
13.800, 0.0208, 0.0140, 0.0117
13.875, 0.0207, 0.0142, 0.0115
13.950, 0.0206, 0.0142, 0.0117
14.025, 0.0206, 0.0143, 0.0115
14.100, 0.0204, 0.0142, 0.0120
14.175, 0.0205, 0.0138, 0.0113
14.250, 0.0209, 0.0143, 0.0116
14.325, 0.0206, 0.0139, 0.0112
14.400, 0.0205, 0.0143, 0.0115
14.475, 0.0203, 0.0142, 0.0113
14.550, 0.0205, 0.0136, 0.0115
14.625, 0.0207, 0.0135, 0.0115
14.700, 0.0201, 0.0136, 0.0115
14.775, 0.0204, 0.0140, 0.0115
14.850, 0.0204, 0.0139, 0.0117
14.925, 0.0205, 0.0140, 0.0116
15.000, 0.0204, 0.0142, 0.0115
15.075, 0.0202, 0.0137, 0.0116
15.150, 0.0197, 0.0136, 0.0119
15.225, 0.0203, 0.0139, 0.0113
15.300, 0.0200, 0.0136, 0.0118
15.375, 0.0201, 0.0135, 0.0115
15.450, 0.0199, 0.0138, 0.0117
15.525, 0.0202, 0.0135, 0.0115
15.600, 0.0199, 0.0137, 0.0116
15.675, 0.0196, 0.0137, 0.0112
15.750, 0.0196, 0.0133, 0.0113
15.825, 0.0199, 0.0137, 0.0113
15.900, 0.0195, 0.0136, 0.0115
15.975, 0.0195, 0.0136, 0.0111
16.050, 0.0195, 0.0139, 0.0110
16.125, 0.0196, 0.0134, 0.0116
16.200, 0.0197, 0.0131, 0.0115
16.275, 0.0196, 0.0138, 0.0115
16.350, 0.0192, 0.0133, 0.0110
16.425, 0.0196, 0.0133, 0.0113
16.500, 0.0193, 0.0133, 0.0115
16.575, 0.0201, 0.0134, 0.0113
16.650, 0.0193, 0.0132, 0.0113
16.725, 0.0188, 0.0134, 0.0115
16.800, 0.0190, 0.0133, 0.0111
16.875, 0.0192, 0.0133, 0.0114
16.950, 0.0191, 0.0132, 0.0115
17.025, 0.0193, 0.0137, 0.0110
17.100, 0.0194, 0.0133, 0.0114
17.175, 0.0190, 0.0133, 0.0111
17.250, 0.0190, 0.0125, 0.0113
17.325, 0.0188, 0.0131, 0.0111
17.400, 0.0192, 0.0133, 0.0112
17.475, 0.0194, 0.0133, 0.0110
17.550, 0.0188, 0.0135, 0.0111
17.625, 0.0189, 0.0131, 0.0112
17.700, 0.0187, 0.0127, 0.0112
17.775, 0.0189, 0.0129, 0.0115
17.850, 0.0191, 0.0131, 0.0111
17.925, 0.0188, 0.0132, 0.0109
18.000, 0.0189, 0.0130, 0.0111
18.075, 0.0188, 0.0126, 0.0110
18.150, 0.0189, 0.0134, 0.0110
18.225, 0.0189, 0.0133, 0.0112
18.300, 0.0187, 0.0130, 0.0108
18.375, 0.0182, 0.0128, 0.0107
18.450, 0.0186, 0.0130, 0.0109
18.525, 0.0185, 0.0128, 0.0106
18.600, 0.0185, 0.0128, 0.0112
18.675, 0.0182, 0.0129, 0.0109
18.750, 0.0184, 0.0127, 0.0110
18.825, 0.0181, 0.0126, 0.0107
18.900, 0.0183, 0.0127, 0.0110
18.975, 0.0181, 0.0125, 0.0108
19.050, 0.0184, 0.0129, 0.0108
19.125, 0.0178, 0.0125, 0.0110
19.200, 0.0179, 0.0129, 0.0105
19.275, 0.0182, 0.0127, 0.0105
19.350, 0.0183, 0.0126, 0.0108
19.425, 0.0179, 0.0122, 0.0107
19.500, 0.0179, 0.0125, 0.0107
19.575, 0.0176, 0.0127, 0.0107
19.650, 0.0182, 0.0127, 0.0109
19.725, 0.0177, 0.0126, 0.0109
19.800, 0.0179, 0.0126, 0.0106
19.875, 0.0180, 0.0125, 0.0108
19.950, 0.0174, 0.0123, 0.0108
20.025, 0.0181, 0.0121, 0.0107
20.100, 0.0177, 0.0125, 0.0105
20.175, 0.0177, 0.0125, 0.0106
20.250, 0.0173, 0.0126, 0.0108
20.325, 0.0171, 0.0124, 0.0110
20.400, 0.0172, 0.0121, 0.0110
20.475, 0.0177, 0.0126, 0.0108
20.550, 0.0179, 0.0127, 0.0102
20.625, 0.0176, 0.0126, 0.0105
20.700, 0.0172, 0.0123, 0.0103
20.775, 0.0178, 0.0125, 0.0108
20.850, 0.0179, 0.0122, 0.0107
20.925, 0.0175, 0.0126, 0.0107
21.000, 0.0174, 0.0125, 0.0108
21.075, 0.0176, 0.0124, 0.0107
21.150, 0.0174, 0.0124, 0.0106
21.225, 0.0174, 0.0125, 0.0105
21.300, 0.0171, 0.0121, 0.0102
21.375, 0.0171, 0.0124, 0.0103
21.450, 0.0175, 0.0125, 0.0105
21.525, 0.0176, 0.0121, 0.0105
21.600, 0.0171, 0.0120, 0.0104
21.675, 0.0170, 0.0122, 0.0102
21.750, 0.0172, 0.0123, 0.0105
21.825, 0.0169, 0.0118, 0.0109
21.900, 0.0176, 0.0124, 0.0107
21.975, 0.0170, 0.0120, 0.0103
22.050, 0.0171, 0.0123, 0.0106
22.125, 0.0169, 0.0120, 0.0102
22.200, 0.0166, 0.0123, 0.0103
22.275, 0.0168, 0.0121, 0.0106
22.350, 0.0170, 0.0119, 0.0103
22.425, 0.0170, 0.0120, 0.0104
22.500, 0.0166, 0.0118, 0.0107
22.575, 0.0169, 0.0125, 0.0100
22.650, 0.0169, 0.0121, 0.0101
22.725, 0.0170, 0.0118, 0.0104
22.800, 0.0164, 0.0122, 0.0104
22.875, 0.0165, 0.0125, 0.0105
22.950, 0.0164, 0.0122, 0.0105
23.025, 0.0164, 0.0121, 0.0102
23.100, 0.0169, 0.0118, 0.0102
23.175, 0.0169, 0.0118, 0.0105
23.250, 0.0166, 0.0116, 0.0101
23.325, 0.0164, 0.0120, 0.0101
23.400, 0.0166, 0.0119, 0.0100
23.475, 0.0163, 0.0119, 0.0099
23.550, 0.0160, 0.0122, 0.0101
23.625, 0.0165, 0.0120, 0.0102
23.700, 0.0165, 0.0119, 0.0104
23.775, 0.0163, 0.0117, 0.0101
23.850, 0.0161, 0.0118, 0.0102
23.925, 0.0164, 0.0118, 0.0101
24.000, 0.0161, 0.0120, 0.0099
24.075, 0.0159, 0.0117, 0.0104
24.150, 0.0161, 0.0114, 0.0098
24.225, 0.0158, 0.0119, 0.0100
24.300, 0.0163, 0.0119, 0.0103
24.375, 0.0164, 0.0116, 0.0102
24.450, 0.0167, 0.0119, 0.0096
24.525, 0.0162, 0.0121, 0.0105
24.600, 0.0163, 0.0114, 0.0101
24.675, 0.0161, 0.0114, 0.0098
24.750, 0.0159, 0.0117, 0.0098
24.825, 0.0162, 0.0114, 0.0098
24.900, 0.0160, 0.0114, 0.0099
24.975, 0.0159, 0.0115, 0.0099
25.050, 0.0158, 0.0113, 0.0099
25.125, 0.0159, 0.0115, 0.0098
25.200, 0.0157, 0.0112, 0.0099
25.275, 0.0158, 0.0117, 0.0101
25.350, 0.0155, 0.0116, 0.0099
25.425, 0.0163, 0.0113, 0.0101
25.500, 0.0156, 0.0113, 0.0098
25.575, 0.0158, 0.0116, 0.0098
25.650, 0.0151, 0.0118, 0.0098
25.725, 0.0158, 0.0115, 0.0098
25.800, 0.0157, 0.0115, 0.0100
25.875, 0.0155, 0.0115, 0.0099
25.950, 0.0155, 0.0112, 0.0099
26.025, 0.0153, 0.0115, 0.0099
26.100, 0.0155, 0.0116, 0.0096
26.175, 0.0155, 0.0113, 0.0098
26.250, 0.0150, 0.0113, 0.0098
26.325, 0.0154, 0.0116, 0.0098
26.400, 0.0154, 0.0113, 0.0097
26.475, 0.0150, 0.0119, 0.0102
26.550, 0.0155, 0.0110, 0.0096
26.625, 0.0157, 0.0109, 0.0095
26.700, 0.0153, 0.0115, 0.0097
26.775, 0.0154, 0.0114, 0.0100
26.850, 0.0155, 0.0114, 0.0094
26.925, 0.0155, 0.0112, 0.0098
27.000, 0.0151, 0.0108, 0.0101
27.075, 0.0151, 0.0114, 0.0098
27.150, 0.0152, 0.0114, 0.0098
27.225, 0.0155, 0.0111, 0.0101
27.300, 0.0151, 0.0117, 0.0097
27.375, 0.0152, 0.0110, 0.0095
27.450, 0.0149, 0.0114, 0.0096
27.525, 0.0148, 0.0109, 0.0097
27.600, 0.0149, 0.0114, 0.0099
27.675, 0.0150, 0.0111, 0.0097
27.750, 0.0149, 0.0112, 0.0095
27.825, 0.0150, 0.0110, 0.0095
27.900, 0.0148, 0.0113, 0.0093
27.975, 0.0149, 0.0112, 0.0096
28.050, 0.0147, 0.0109, 0.0096
28.125, 0.0151, 0.0112, 0.0095
28.200, 0.0146, 0.0110, 0.0097
28.275, 0.0151, 0.0110, 0.0095
28.350, 0.0151, 0.0115, 0.0096
28.425, 0.0146, 0.0111, 0.0096
28.500, 0.0147, 0.0110, 0.0097
28.575, 0.0146, 0.0108, 0.0096
28.650, 0.0146, 0.0108, 0.0096
28.725, 0.0144, 0.0108, 0.0093
28.800, 0.0146, 0.0110, 0.0094
28.875, 0.0144, 0.0110, 0.0099
28.950, 0.0146, 0.0107, 0.0097
29.025, 0.0145, 0.0112, 0.0095
29.100, 0.0148, 0.0106, 0.0099
29.175, 0.0146, 0.0110, 0.0094
29.250, 0.0146, 0.0111, 0.0091
29.325, 0.0146, 0.0107, 0.0090
29.400, 0.0150, 0.0103, 0.0092
29.475, 0.0146, 0.0111, 0.0095
29.550, 0.0146, 0.0110, 0.0093
29.625, 0.0142, 0.0109, 0.0093
29.700, 0.0145, 0.0111, 0.0098
29.775, 0.0147, 0.0108, 0.0095
29.850, 0.0142, 0.0105, 0.0095
29.925, 0.0142, 0.0107, 0.0095
30.000, 0.0146, 0.0111, 0.0092
30.075, 0.0147, 0.0108, 0.0093
30.150, 0.0145, 0.0108, 0.0094
30.225, 0.0141, 0.0106, 0.0093
30.300, 0.0140, 0.0114, 0.0092
30.375, 0.0143, 0.0110, 0.0093
30.450, 0.0140, 0.0105, 0.0094
30.525, 0.0143, 0.0107, 0.0094
30.600, 0.0142, 0.0104, 0.0095
30.675, 0.0144, 0.0109, 0.0094
30.750, 0.0140, 0.0108, 0.0094
30.825, 0.0142, 0.0106, 0.0094
30.900, 0.0140, 0.0110, 0.0093
30.975, 0.0139, 0.0103, 0.0094
31.050, 0.0143, 0.0106, 0.0093
31.125, 0.0143, 0.0107, 0.0094
31.200, 0.0140, 0.0105, 0.0092
31.275, 0.0140, 0.0105, 0.0095
31.350, 0.0144, 0.0105, 0.0089
31.425, 0.0140, 0.0106, 0.0090
31.500, 0.0138, 0.0104, 0.0089
31.575, 0.0138, 0.0102, 0.0090
31.650, 0.0141, 0.0107, 0.0092
31.725, 0.0140, 0.0103, 0.0092
31.800, 0.0139, 0.0107, 0.0092
31.875, 0.0137, 0.0105, 0.0093
31.950, 0.0140, 0.0107, 0.0093
32.025, 0.0135, 0.0108, 0.0088
32.100, 0.0142, 0.0106, 0.0091
32.175, 0.0140, 0.0101, 0.0088
32.250, 0.0136, 0.0101, 0.0091
32.325, 0.0137, 0.0105, 0.0091
32.400, 0.0140, 0.0107, 0.0093
32.475, 0.0138, 0.0106, 0.0090
32.550, 0.0135, 0.0103, 0.0090
32.625, 0.0137, 0.0103, 0.0094
32.700, 0.0138, 0.0101, 0.0093
32.775, 0.0136, 0.0104, 0.0090
32.850, 0.0138, 0.0103, 0.0086
32.925, 0.0136, 0.0104, 0.0090
33.000, 0.0139, 0.0102, 0.0091
33.075, 0.0138, 0.0104, 0.0093
33.150, 0.0135, 0.0102, 0.0090
33.225, 0.0138, 0.0105, 0.0089
33.300, 0.0133, 0.0106, 0.0090
33.376, 0.0138, 0.0103, 0.0092
33.451, 0.0138, 0.0102, 0.0091
33.526, 0.0136, 0.0101, 0.0091
33.601, 0.0133, 0.0105, 0.0089
33.676, 0.0138, 0.0103, 0.0091
33.751, 0.0135, 0.0103, 0.0089
33.826, 0.0136, 0.0100, 0.0089
33.901, 0.0131, 0.0101, 0.0086
33.976, 0.0133, 0.0098, 0.0090
34.051, 0.0133, 0.0101, 0.0090
34.126, 0.0136, 0.0101, 0.0088
34.201, 0.0133, 0.0103, 0.0092
34.276, 0.0133, 0.0097, 0.0088
34.351, 0.0135, 0.0100, 0.0090
34.426, 0.0133, 0.0104, 0.0089
34.501, 0.0131, 0.0103, 0.0089
34.576, 0.0132, 0.0101, 0.0087
34.651, 0.0135, 0.0101, 0.0090
34.726, 0.0133, 0.0100, 0.0093
34.801, 0.0131, 0.0103, 0.0088
34.876, 0.0134, 0.0100, 0.0089
34.951, 0.0130, 0.0101, 0.0087
35.026, 0.0133, 0.0100, 0.0091
35.101, 0.0128, 0.0099, 0.0086
35.176, 0.0126, 0.0098, 0.0087
35.251, 0.0134, 0.0103, 0.0089
35.326, 0.0133, 0.0098, 0.0088
35.401, 0.0131, 0.0103, 0.0089
35.476, 0.0132, 0.0098, 0.0088
35.551, 0.0128, 0.0096, 0.0084
35.626, 0.0127, 0.0102, 0.0088
35.701, 0.0130, 0.0101, 0.0087
35.776, 0.0131, 0.0099, 0.0088
35.851, 0.0131, 0.0100, 0.0090
35.926, 0.0127, 0.0099, 0.0088
36.001, 0.0133, 0.0098, 0.0084
36.076, 0.0130, 0.0099, 0.0089
36.151, 0.0130, 0.0097, 0.0086
36.226, 0.0127, 0.0096, 0.0087
36.301, 0.0131, 0.0102, 0.0088
36.376, 0.0130, 0.0098, 0.0086
36.451, 0.0129, 0.0101, 0.0084
36.526, 0.0127, 0.0096, 0.0087
36.601, 0.0126, 0.0096, 0.0086
36.676, 0.0130, 0.0094, 0.0087
36.751, 0.0125, 0.0100, 0.0084
36.826, 0.0126, 0.0098, 0.0087
36.901, 0.0127, 0.0097, 0.0089
36.976, 0.0125, 0.0097, 0.0082
37.051, 0.0125, 0.0101, 0.0088
37.126, 0.0123, 0.0099, 0.0089
37.201, 0.0128, 0.0098, 0.0083
37.276, 0.0127, 0.0096, 0.0085
37.351, 0.0128, 0.0093, 0.0080
37.426, 0.0128, 0.0095, 0.0090
37.501, 0.0130, 0.0097, 0.0083
37.576, 0.0128, 0.0099, 0.0088
37.651, 0.0129, 0.0096, 0.0089
37.726, 0.0124, 0.0094, 0.0086
37.801, 0.0126, 0.0094, 0.0084
37.876, 0.0123, 0.0100, 0.0087
37.951, 0.0124, 0.0100, 0.0082
38.026, 0.0123, 0.0096, 0.0085
38.101, 0.0123, 0.0097, 0.0085
38.176, 0.0124, 0.0096, 0.0088
38.251, 0.0123, 0.0098, 0.0084
38.326, 0.0122, 0.0097, 0.0084
38.401, 0.0121, 0.0097, 0.0083
38.476, 0.0124, 0.0095, 0.0086
38.551, 0.0126, 0.0093, 0.0085
38.626, 0.0124, 0.0098, 0.0088
38.701, 0.0124, 0.0097, 0.0084
38.776, 0.0125, 0.0097, 0.0089
38.851, 0.0122, 0.0092, 0.0080
38.926, 0.0123, 0.0097, 0.0084
39.001, 0.0122, 0.0094, 0.0084
39.076, 0.0124, 0.0098, 0.0080
39.151, 0.0123, 0.0094, 0.0083
39.226, 0.0122, 0.0092, 0.0082
39.301, 0.0125, 0.0093, 0.0081
39.376, 0.0123, 0.0095, 0.0088
39.451, 0.0120, 0.0091, 0.0081
39.526, 0.0122, 0.0094, 0.0084
39.601, 0.0124, 0.0093, 0.0082
39.676, 0.0121, 0.0094, 0.0083
39.751, 0.0123, 0.0093, 0.0087
39.826, 0.0124, 0.0097, 0.0085
39.901, 0.0118, 0.0094, 0.0082
39.976, 0.0124, 0.0090, 0.0080
40.051, 0.0122, 0.0094, 0.0083
40.126, 0.0119, 0.0094, 0.0082
40.201, 0.0120, 0.0092, 0.0085
40.276, 0.0119, 0.0097, 0.0081
40.351, 0.0118, 0.0092, 0.0089
40.426, 0.0119, 0.0093, 0.0085
40.501, 0.0120, 0.0097, 0.0081
40.576, 0.0124, 0.0091, 0.0081
40.651, 0.0114, 0.0096, 0.0082
40.726, 0.0123, 0.0094, 0.0083
40.801, 0.0117, 0.0092, 0.0083
40.876, 0.0118, 0.0092, 0.0081
40.951, 0.0120, 0.0094, 0.0081
41.026, 0.0116, 0.0091, 0.0083
41.101, 0.0121, 0.0093, 0.0082
41.176, 0.0120, 0.0093, 0.0085
41.251, 0.0117, 0.0092, 0.0081
41.326, 0.0119, 0.0094, 0.0084
41.401, 0.0117, 0.0090, 0.0084
41.476, 0.0118, 0.0091, 0.0082
41.551, 0.0116, 0.0095, 0.0081
41.626, 0.0119, 0.0092, 0.0080
41.701, 0.0115, 0.0091, 0.0080
41.776, 0.0119, 0.0093, 0.0082
41.851, 0.0114, 0.0093, 0.0083
41.926, 0.0114, 0.0091, 0.0080
42.001, 0.0114, 0.0094, 0.0083
42.076, 0.0117, 0.0093, 0.0080
42.151, 0.0116, 0.0095, 0.0082
42.226, 0.0115, 0.0089, 0.0083
42.301, 0.0117, 0.0094, 0.0082
42.376, 0.0110, 0.0094, 0.0081
42.451, 0.0118, 0.0087, 0.0082
42.526, 0.0115, 0.0091, 0.0081
42.601, 0.0116, 0.0092, 0.0081
42.676, 0.0116, 0.0094, 0.0082
42.751, 0.0118, 0.0092, 0.0083
42.826, 0.0114, 0.0093, 0.0078
42.901, 0.0117, 0.0095, 0.0082
42.976, 0.0114, 0.0091, 0.0078
43.051, 0.0110, 0.0090, 0.0077
43.126, 0.0112, 0.0093, 0.0080
43.201, 0.0118, 0.0090, 0.0080
43.276, 0.0116, 0.0093, 0.0081
43.351, 0.0119, 0.0089, 0.0080
43.426, 0.0116, 0.0091, 0.0078
43.501, 0.0115, 0.0090, 0.0080
43.576, 0.0115, 0.0088, 0.0080
43.651, 0.0112, 0.0089, 0.0084
43.726, 0.0115, 0.0088, 0.0081
43.801, 0.0114, 0.0092, 0.0083
43.876, 0.0113, 0.0093, 0.0080
43.951, 0.0114, 0.0089, 0.0081
44.026, 0.0111, 0.0091, 0.0080
44.101, 0.0112, 0.0089, 0.0080
44.176, 0.0114, 0.0085, 0.0079
44.251, 0.0113, 0.0093, 0.0079
44.326, 0.0114, 0.0089, 0.0083
44.401, 0.0110, 0.0091, 0.0081
44.476, 0.0111, 0.0087, 0.0076
44.551, 0.0112, 0.0091, 0.0080
44.626, 0.0115, 0.0085, 0.0078
44.701, 0.0114, 0.0093, 0.0080
44.776, 0.0115, 0.0087, 0.0079
44.851, 0.0112, 0.0088, 0.0079
44.926, 0.0112, 0.0090, 0.0079
45.001, 0.0110, 0.0089, 0.0081
45.076, 0.0110, 0.0084, 0.0077
45.151, 0.0112, 0.0088, 0.0077
45.226, 0.0112, 0.0088, 0.0081
45.301, 0.0112, 0.0091, 0.0078
45.376, 0.0112, 0.0088, 0.0078
45.451, 0.0113, 0.0086, 0.0078
45.526, 0.0107, 0.0086, 0.0079
45.601, 0.0108, 0.0088, 0.0078
45.676, 0.0107, 0.0089, 0.0077
45.751, 0.0109, 0.0090, 0.0079
45.826, 0.0109, 0.0088, 0.0078
45.901, 0.0108, 0.0087, 0.0079
45.976, 0.0108, 0.0089, 0.0080
46.051, 0.0114, 0.0086, 0.0080
46.126, 0.0114, 0.0086, 0.0081
46.201, 0.0108, 0.0090, 0.0074
46.276, 0.0107, 0.0085, 0.0077
46.351, 0.0109, 0.0090, 0.0077
46.426, 0.0111, 0.0088, 0.0078
46.501, 0.0111, 0.0089, 0.0075
46.576, 0.0111, 0.0089, 0.0074
46.651, 0.0110, 0.0089, 0.0077
46.726, 0.0105, 0.0088, 0.0079
46.801, 0.0109, 0.0089, 0.0078
46.876, 0.0112, 0.0085, 0.0076
46.951, 0.0108, 0.0084, 0.0075
47.026, 0.0111, 0.0085, 0.0076
47.101, 0.0107, 0.0088, 0.0081
47.176, 0.0110, 0.0085, 0.0077
47.251, 0.0112, 0.0088, 0.0077
47.326, 0.0108, 0.0088, 0.0076
47.401, 0.0110, 0.0087, 0.0079
